trudge	walk heavily
thrift	care economy thriving prosperous
daunt	intimidate make fearful
veneration	regard with deep respect
grave	serious requiring; consideration
frenetic	frantic; frenzied
disheveled	untidy
temperate	showing self-control
impiety	lack of reverence or dutifulness
blas	bored with pleasure or dissipation
scalding	hot enough to boil
irresolute	hesitating; undecided
rave	act with excessive enthusiasm
heresy	belief contrary to what is generally accepted
guile	deceit; cunning
fret	worry; irritation; wear away
chicanery	legal trickery/false argument
telltale	That gives warning or information
feckless	lacking purpose or vitality ineffective careless
ardor	enthusiasm
debacle	a breakup overthrow sudden disaster
tawdry	cheap gaudy showy tacky
striated	striped grooved or banded
jocular	meant as a joke
exoneration	set someone clear (e.g.. from blame)
contentious	argumentative pugnacious combative quarrelsome
cajole	use flattery or deceit to persuade
resilience	quality of quickly recovering the original shape
disdain	look on with contempt
taunt	contemptuous reproach hurtful remark
alacrity	eager and cheerful; readiness
abeyance	suspended action
apotheosis	deification glorification to godliness
hoodwink	trick; mislead
glimmer	weak/unsteady light
terse	brief and to the point
ulterior	situated beyond
jagged	notched
myriad	very great number
inimitable	defying; imitation; unmatchable
conundrum	a riddle dilemma enigma
incite	stir up; rouse
falter	waver/move in an uncertain manner
drawl	slow way of speaking
clamor	shout complain with a lot of noise
nexus	a connection or link
render	deliver provide represent
clinch	come to grips/settle conclusively
abet	help/encourage somebody (in doing wrong)
decorum	propriety properness
quiescence	state of being passive/motionless
discreet	careful/prudent
ale	fermented alcoholic beverage similar to but heavier than beer
sash	long strip worn round the waist
ruffian	violent cruel man
tepid	lukewarm
itinerate	to travel from place to place to peregrinate
doleful	dismal; mourful
innocuous	causing no harm
exhaustive	complete; thorough
abrogate	repeal or annul by authority
recant	take back as being FALSE give up
crush	press lose shape subdue overwhelm
talon	claw of a bird of prey
quack	person dishonestly claiming to something
emaciate	make thin and weak
sever	break off
sodden	soaked; saturated
mephitic	Poisonous; noxious
sketchy	shortly, roughly, quickly
intrepid	fearless; brave; undaunted
preternatural	not normal or usual
pariah	an outcast a rejected and despised person
unfeigned	not pretended sincere
servile	like a slave lacking independence
ossify	to turn to bone to settle rigidly into an idea
prim	neat; formal
churlish	(adj) boorish
fixate	stare at
commodious	having plenty of space for what is needed
flinch	draw; move back; wince
insurrection	rising of people to open resistance to
recast	cast or fashion anew
thwart	obstruct/frustrate
transgress	break go beyond (a limit)
engrossing	taken up all the time or attention writing in large or formal
vilify	slander say evil things
intransigence	unwillingness to compromise stubbornness intractability
covert	disguised
heinous	odious (of crime)
infuse	put; pour; fill
ubiquitous	present everywhere
quixotic	fanciful, fantastic, imaginary
fracas	noisy; quarrel
putrefaction	becoming rotten
torpid	dull and slow
assuage	make something (pain desire) less
insinuate	suggest unpleasantly; make a way for something gently
sycophant	person who flatter to the rich and powerful
urbane	elegant refined in manners
ebullience	exuberance outburst of feeling
austere	severely moral and strict simple and plain
inadvertent	not paying proper attention
assail	 attack violently
stingy	spending using unwillingly
equivocal	having a double or doubtful meaning; suspicious
proclivity	inclination
cower	crouch shrink back
colander	bowl-shaped vessel with many holes used to drain off water
maul	hurt by rough handling
provisional	of the present time only
burnish	to polish; rub to a shine
penury	extreme poverty
dirge	a song of grief or lamentation
ire	anger
vain	without use result conceited
ruddy	reddish, healthy-looking
forfeit	suffer the loss of something
engender	cause produce give rise to
occluded	blocked up
rotund	rich and deep; plump and round
puerile	childish
savant	person of great learning
profuse	abundant/lavish
enervate	weaken deprive of strength attenuate
adamant	kind of stone; inflexible
dynamo	a generator something that produces electric current
equivocate	try to deceive by equivocal language
gnaw	waste away; bite steadily
wean	to turn away (from a habit)
pry	get something inquire too curiously
beatify	to bless; make happy or ascribe a virtue to
discrete	distinct
hegemony	predominance
glut	supply to much fill to excess
crease	line made by crushing white line on the ground in cricket
ascertain	get to know
foray	to venture
guileless	honest; straightforward
sting	something sharp
splice	join (two ends)
penitent	feeling or showing regret
elegy	a lament a melancholy composition
reticent	reserved; untalkative; silent; taciturn
pusillanimous	cowardly; craven
obtuse	blunt/stupid
paucity	scarcity a lacking of
retinue	following; attendants
diatribe	bitter and violent attack in words
cogitate	think deeply mediate
consummate	perfect/make; perfect/complete
stolid	showing no emotion impassive
effrontery	boldness impudence arrogance
dissolution	disintegration looseness in morals
derision	ridicule mockery deriding
indolence	laziness
pyre	large pile of wood for burning
erudite	learned; scholarly
mercurial	quick changeable in character fleeting
corporeal	physical of or for the body
pedestrian	commonplace trite unremarkable
equable	steady; regular
admonitory	containing warning
luculent	easily understood; lucid; clear
coeval	of the same period; coexisting
insularity	narrow-mindedness; isolated
auspicious	favorable successful prosperous
secular	material (not spiritual) living outside monasteries
streak	long thin move very fast
nascent	coming into existence; emerging
decry	disapprove of
penchant	strong inclination a liking
pulchritude	Physical beauty
onus	responsilibilty,burden
vanquish	conquer
extirpate	to destroy exterminate cut out exscind
assiduous	diligent hard-working; sedulous
privation	hardship
accretion	the growing of separate things into one
covetous	eagerly desirous
defalcate	(v) to embezzle or misappropriate
baneful	causing harm or ruin; pernicious; destructive
indelible	that cannot be rubbed out
palliate	lessen the severity of
cogent	strong; convincing
dearth	shortage
pellucid	transparent easy to understand
condone	forgive
lumber	move in a clumsy/noisy way
discredit	refuse to believe
recidivism	relapse into antisocial or criminal behavior
lurk	be out of view ready to attack
coda	passage that completes a piece of music
cornucopia	abundant supply
veneer	surface appearance covering the TRUE nature
petrify	to make hard rocklike
censure	expression of blame or disapproval a rebuke
elicit	draw out
serration	having a toothed edge
dainty	pretty/delicate(food)/difficult to please
caustic	biting sarcastic
highbrow	(person) with superior tastes
odious	repulsive; hateful
abjure	promise or swear to give up
chauvinist	a blindly devoted patriot
tyro	a beginner
inane	silly; senseless
dilate	speak comprehensively become wider large
deprave	make morally bad;corrupt
denigrate	blacken; belittle; sully; defame
duplicity	deliberate deception
protracted	prolonged
taut	tightly stretched
turbid	muddy having the sediment stirred up
fledgling	an inexperienced person.
punctilious	Meticulous
bellicose	inclined to fighting
ignominious	shameful; dishonorable; undignified; disgraceful
interim	as an installment
avid	eager; greedy
florid	very much ornamented naturally red (e.g.. of face)
malign	to speak harmful untruths about someone
inundate	flood cover by overflowing
attenuate	make thin; weaken; enervate
consume	get to the end of
phlegmatic	calm; sluggish; temperament; unemotional
sanctimony	self-righteousness hypocritical with FALSE piety
inimical	harmful or unfriendly
prevaricate	to equivocate to stray from the truth
ingenuous	naive; young; artless; frank; honest; sincere
veracity	truth
barren	not good enough; unable to have young ones without value
plaque	flat metal on a wall as a memorial
lien	legal claim until a debt on it is repaid
exigency	emergency an urgent situation
chagrin	vexation
aver	affirm; assert; prove; justify
credulity	too great a readiness to believe things
snub	treat with contempt
libel	statement that damages reputation
forbearance	patience; willingness to wait
volubility	fluency verbosity easy use of spoken language
conceit	over-high opinion of too much pride
idiosyncrasy	personal mannerism
obdurate	hardened and unrepenting; stubborn; inflexible
dud	no use person something that fails
facile	easily done
contiguous	touching neighboring near
jejune	insubstantial/dull/immature
waft	scent waving movement carry lightly through
resigned	unresistant; submissive
abut	border on
finagle	to practice deception or fraud; scheme.
repudiate	disown refuse to accept or pay
tocsin	a signal, especially of alarm
verisimilitude	appearing TRUE or real
fringe	edge ornamental border part of hair over the forehead
chastened	corrected punished
somatic	of the body
pernicious	harmful; injurious
husk	worthless; outside part of anything
insipid	without taste or flavor
coax	get somebody to do something by kindness
dolt	stupid fellow
penurious	poor/stingy
parley	negotiation
effluvia	outflow in a stream of particles a noxious odor or vapor
incursion	a raid; a sudden attack
obfuscate	to darken; make obscure; muddle
preclude	prevent make impossible
