irate	angry
underbid	make a lower bid then somebody else
alcove	recess/partially enclosed place
frantic	wildly excited with joy; pain; anxiety
peccadillo	small sin small weakness in one's character
pervade	spread through every part of
decree	order given by authority
concoct	invent, prepare by mixing together
turquoise	greenish-blue precious stone
miser	person who loves wealth and spends little
valiant	brave
derogatory	insulting; tending to damage
tarnished	lost brightness
reverent	feeling or showing deep respect
imminent	likely to come or happen soon
voluptuous	arousing sensual pleasures
suppress	prevent from being known put an end to
irrevocable	final and unalterable
soggy	heavy with water
vindictive	having a desire to revenge
wanton	unrestrained; willfully malicious; unchaste
pinch	be too tight take between the thumb and finger
earthenware	dishes made of baked clay
unearth	discover and bring to light
savor	taste flavor something
hoax	mischievous trick played to deceive
vitriolic	corrosive; sarcastic
loquacious	talkative; garrulous
defiance	open disobedience or resistance
candid	frank; straight-forward
warmonger	person who stirs up war
gust	outburst of feeling; sudden rain wind fire etc.
coalescing	coming together and uniting into one substance
precursory	preliminary; anticipating
counterfeit	forgery
gush	burst out suddenly/talk ardently
quandary	state of doubt or perplexity
chortle	loud chuckle of pleasure or amusement
compunction	feeling of regret for one's action
plunge	move quickly suddenly and with force
revere	have deep respect for
swerve	change direction suddenly
abraded	rubbed off; worn away by friction
punitive	Punishing
dawdler	person who is slow waste of time
noxious	harmful
torment	severe pain or suffering
squander	spend wastefully
exculpate	to clear from a charge of guilt
stifled	suppressed, kept back
antithetical	direct opposing
deplete	use until none remains
apropos	by the way
recompense	make payment to reward punish
coerce	compel to force to make obedient
aseptic	surgically clean
implacable	incapable of being placated; unpleasable
holster	leather case for a pistol
proliferate	grow reproduce by rapid multification
propagation	increasing the number; spreading; extending
personable	pleasing in appearance attractive
reciprocity	granting of privileges in return for similar
vigilance	watchfulness self-appointed group who maintain order
distraught	distracted violently upset in mind
ineptitude	quality of being unskillful
lustrous	being bright; polished
condense	increase in density strength make laconic
extol	to praise highly
forestall	prevent by taking action in advance; preempt
stipulate	state or put forward as a necessary condition
lament	show feeling of great sorrow
provoke	make angry vax
plummet	fall plunge steeply
subpoena	written order requiring a person to appear in a low court
accrue	accumulate
idolatry	excessive admiration of
apprehensive	grasping understanding fear unhappy feeling about future
nihilism	total rejection of all religious and moral beliefs
soot	black powder in smoke
valorous	brave
complaisance	tending to comply obliging willingness to please
illicit	unlawful; forbidden
viscous	sticky/semi-fluid
aversion	strong dislike
haughty	arrogant; conceited
concord	agreement or harmony
latent	present but not yet active; developed or visible
topple	be unsteady and overturn
supersede	take the place of
entangle	put into difficulties
variegate	To mark with different shade or colors
inept	unskillful; said or done at the wrong time
deviance	being different in moral standards (from normal)
